,Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 800us,Rx Frames per Bin : 800us - 1013.34us,Rx Frames per Bin : 1013.34us - 1226.66us,Rx Frames per Bin : 1226.66us - 1440us,Rx Frames per Bin : 1440us - 1653.34us,Rx Frames per Bin : 1653.34us - 1866.66us,Rx Frames per Bin : 1866.66us - 2080us,Rx Frames per Bin : 2080us - 2293.34us,Rx Frames per Bin : 2293.34us - 2506.66us,Rx Frames per Bin : 2506.66us - 2720us,Rx Frames per Bin : 2720us - 2933.34us,Rx Frames per Bin : 2933.34us - 3146.66us,Rx Frames per Bin : 3146.66us - 3360us,Rx Frames per Bin : 3360us - 3573.34us,Rx Frames per Bin : 3573.34us - 3786.66us,Rx Frames per Bin : 3786.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns),Instance,Overload,Experiment,Repeat
0,Port 1,0x1,HQoS Traffic-cpu0-flow0-lp4 - Flow Group 0001,97870492,67196635,2846,789,787,792,787,790,67189839,4,0,0,0,0,0,0,0,1,31.341,1688076.5,1159152.0,20500001016.0,14076741888.0,2059493,33572,24629768392,1,1.5,prioprop,5
1,Port 1,0x1,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,55857792,38367599,1624,450,451,448,453,450,38363720,3,0,0,0,0,0,0,0,0,31.312,963438.5,661713.5,11699997144.0,8035848744.0,2059095,34080,2084570,1,1.5,prioprop,5
2,Port 1,0x1,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,13606386,9332229,396,109,110,110,109,111,9331284,0,0,0,0,0,0,0,0,0,31.413,234684.0,160823.0,2850002496.0,1953034512.0,2059027,33802,2078235,1,1.5,prioprop,5
3,Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,2148377,1473718,63,17,17,18,17,18,1473568,0,0,0,0,0,0,0,0,0,31.403,37055.5,25473.0,450001992.0,309344112.0,2059113,34857,2073567,1,1.5,prioprop,5
4,Port 1,0x1,HQoS Traffic-cpu0-flow0-lp4 - Flow Group 0001,101252463,69528707,2845,788,785,791,790,788,69521910,8,0,0,0,0,0,0,0,2,31.331,1688076.5,1159324.5,20500001016.0,14078836728.0,2059905,33972,24460735887,1,1.5,prioprop,5
5,Port 1,0x1,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,57787991,39689411,1623,451,450,451,449,452,39685529,5,0,0,0,0,0,0,0,1,31.319,963439.0,661727.5,11700003216.0,8036018760.0,2059786,33545,24460735830,1,1.5,prioprop,5
6,Port 1,0x1,HQoS Traffic-cpu0-flow0-lp2 - Flow Group 0001,14076562,9648420,395,111,109,110,109,110,9647475,1,0,0,0,0,0,0,0,0,31.458,234684.0,160662.0,2850002496.0,1951079328.0,2059101,35047,2080575,1,1.5,prioprop,5
7,Port 1,0x1,HQoS Traffic-cpu0-flow0-lp1 - Flow Group 0001,2222616,1524885,63,17,17,18,17,17,1524735,1,0,0,0,0,0,0,0,0,31.392,37055.5,25447.5,450001992.0,309034440.0,2059181,33277,2082560,1,1.5,prioprop,5
8,Port 1,0x1,HQoS Traffic-cpu0-flow0-lp4 - Flow Group 0001,101246873,69520794,2835,789,789,791,788,792,69513889,120,0,0,0,0,0,0,0,1,31.335,1688076.5,1159195.0,20500001016.0,14077264080.0,2059553,34335,24567141320,1,1.5,prioprop,5
9,Port 1,0x1,HQoS Traffic-cpu0-flow0-lp3 - Flow Group 0001,57784800,39691953,1618,453,449,448,450,453,39688016,66,0,0,0,0,0,0,0,0,31.311,963438.5,661825.0,11699997144.0,8037202800.0,2059168,34985,2107700,1,1.5,prioprop,5
