Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,11112488,11112481,0,7082015,3773024,257417,25,0,0,0,0,0,0,0,0,0,0,0,0.000,185277.000,185276.500,2250003888.000,2249997816.000,33097,30672,40832
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,11112488,11112481,0,7024039,3804531,283876,33,1,1,0,0,0,0,0,0,0,0,0,0.000,185277.000,185276.500,2250003888.000,2249997816.000,33096,30675,48110
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,11112488,11112481,0,6974493,3900495,237462,30,1,0,0,0,0,0,0,0,0,0,0,0.000,185277.000,185276.500,2250003888.000,2249997816.000,33119,30712,45640
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,11112488,11112482,0,7065918,3820193,226345,24,1,1,0,0,0,0,0,0,0,0,0,0.000,185276.500,185277.000,2249997816.000,2250003888.000,33108,30715,49272
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,11112488,11112482,0,7159912,3801477,151080,13,0,0,0,0,0,0,0,0,0,0,0,0.000,185276.500,185276.500,2249997816.000,2249997816.000,33057,30662,40555
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,11112488,11112481,0,7109739,3784757,217958,26,1,0,0,0,0,0,0,0,0,0,0,0.000,185276.500,185276.000,2249997816.000,2249991744.000,33100,30710,45000
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,11112488,11112481,0,7166237,3780670,165544,28,2,0,0,0,0,0,0,0,0,0,0,0.000,185276.500,185276.500,2249997816.000,2249997816.000,33066,30670,46440
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,11112488,11112482,0,7107807,3763779,240858,36,1,0,1,0,0,0,0,0,0,0,0,0.000,185276.500,185277.000,2249997816.000,2250003888.000,33115,30672,50200
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10529810,10529804,0,5842971,4574280,112553,0,0,0,0,0,0,0,0,0,0,0,0,0.000,175561.500,175561.500,249999576.000,249999576.000,33119,30090,39672
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10529810,10529804,0,5748220,4615231,166350,1,2,0,0,0,0,0,0,0,0,0,0,0.000,175561.500,175561.500,249999576.000,249999576.000,33149,30020,45575
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10529810,10529804,0,5906939,4503317,119546,1,1,0,0,0,0,0,0,0,0,0,0,0.000,175561.500,175562.000,249999576.000,250000288.000,33116,30032,45445
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10529811,10529805,0,5708529,4712274,109001,0,1,0,0,0,0,0,0,0,0,0,0,0.000,175562.000,175562.000,250000288.000,250000288.000,33179,30160,44900
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10529811,10529804,0,5876470,4558538,94795,1,0,0,0,0,0,0,0,0,0,0,0,0.000,175562.000,175561.500,250000288.000,249999576.000,33091,30020,40037
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10529811,10529804,0,5748580,4634121,147099,4,0,0,0,0,0,0,0,0,0,0,0,0.000,175562.000,175561.500,250000288.000,249999576.000,33170,30105,41872
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10529811,10529805,0,5727855,4664611,137334,3,2,0,0,0,0,0,0,0,0,0,0,0.000,175562.000,175562.000,250000288.000,250000288.000,33186,30005,46007
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10529811,10529805,0,5656153,4682581,191068,1,1,1,0,0,0,0,0,0,0,0,0,0.000,175561.500,175562.000,249999576.000,250000288.000,33223,30060,47602
