Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 48us,Rx Frames per Bin : 48us - 66us,Rx Frames per Bin : 66us - 84us,Rx Frames per Bin : 84us - 102us,Rx Frames per Bin : 102us - 120us,Rx Frames per Bin : 120us - 138us,Rx Frames per Bin : 138us - 156us,Rx Frames per Bin : 156us - 174us,Rx Frames per Bin : 174us - 192us,Rx Frames per Bin : 192us - 210us,Rx Frames per Bin : 210us - 228us,Rx Frames per Bin : 228us - 246us,Rx Frames per Bin : 246us - 264us,Rx Frames per Bin : 264us - 282us,Rx Frames per Bin : 282us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,21914453,14318388,0,15,13,13,14,11,12,13,13,12,12,13,12,13,12,14318210,34.662,365406.500,238748.000,4437496536.000,2899355712.000,120862393,32735,1309117980
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,21914454,14318388,0,15,13,13,12,12,13,12,12,13,12,12,13,12,12,14318212,34.662,365407.000,238748.500,4437502608.000,2899361784.000,121359146,33462,1143244807
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,21914454,14318388,0,11,15,12,13,12,12,12,13,12,12,12,14,13,12,14318213,34.662,365407.000,238749.000,4437502608.000,2899367856.000,121804727,32545,1194744127
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,21914454,14318387,0,14,13,13,11,14,13,12,12,13,12,12,13,11,14,14318210,34.662,365407.000,238747.500,4437502608.000,2899349640.000,121659491,32830,1167888552
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,21914454,14318386,0,12,10,11,12,13,12,13,12,12,12,13,13,13,12,14318216,34.662,365407.000,238749.000,4437502608.000,2899367856.000,121506730,32355,1156094037
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,21914454,14318388,0,14,15,12,12,12,14,11,13,12,13,12,13,12,12,14318211,34.662,365407.000,238748.500,4437502608.000,2899361784.000,121281120,31920,1157063825
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,21914454,14318388,0,14,11,12,13,12,13,12,12,13,13,11,13,13,13,14318213,34.662,365406.500,238748.500,4437496536.000,2899361784.000,121740411,32365,1180767645
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,21914454,14318388,0,16,12,12,13,12,13,12,12,12,13,13,12,12,12,14318212,34.662,365406.500,238747.500,4437496536.000,2899349640.000,121021002,33050,1116179342
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10528925,10528900,0,11403,70,6738,100609,912246,2612413,2648360,2473351,1621646,132936,8318,768,42,0,0,0.000,175561.500,175562.500,249999576.000,250001000.000,149104,30610,255572
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10528925,10528894,0,11398,79,6311,100241,872623,2598261,2650369,2462056,1683293,135364,8124,733,42,0,0,0.000,175561.500,175557.500,249999576.000,249993880.000,149455,30870,257197
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10528926,10528897,0,11401,74,6223,99948,828075,2561084,2650504,2446755,1760769,154103,9025,884,52,0,0,0.000,175562.000,175559.500,250000288.000,249996728.000,150022,30620,256157
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10528926,10528909,0,11399,73,4422,99885,665138,2405671,2627355,2409789,2061135,230603,12228,1122,89,0,0,0.000,175562.000,175569.500,250000288.000,250010968.000,152305,30690,262512
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10528926,10528897,0,11404,71,6610,100647,882867,2601274,2645718,2463288,1667117,140743,8305,791,62,0,0,0.000,175562.000,175557.000,250000288.000,249993168.000,149399,30885,255865
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10528926,10528900,0,11406,72,6607,100668,880717,2596385,2649184,2460752,1677027,137126,8157,749,50,0,0,0.000,175562.000,175559.000,250000288.000,249996016.000,149417,30902,255167
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10528926,10528894,0,11401,66,6264,98849,853355,2580924,2648797,2455267,1722002,142869,8284,775,41,0,0,0.000,175562.000,175559.500,250000288.000,249996728.000,149715,30932,257105
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10528926,10528901,0,11396,76,6762,100679,905504,2609143,2647261,2467883,1633987,136744,8584,822,60,0,0,0.000,175561.500,175565.000,249999576.000,250004560.000,149188,30990,256407
