Rx Port,IPv4 :Raw priority,Flow Group,Tx Frames,Rx Frames,Rx Frames per Bin : 0us - 30us,Rx Frames per Bin : 30us - 33.34us,Rx Frames per Bin : 33.34us - 36.66us,Rx Frames per Bin : 36.66us - 40us,Rx Frames per Bin : 40us - 43.34us,Rx Frames per Bin : 43.34us - 46.66us,Rx Frames per Bin : 46.66us - 50us,Rx Frames per Bin : 50us - 53.34us,Rx Frames per Bin : 53.34us - 56.66us,Rx Frames per Bin : 56.66us - 60us,Rx Frames per Bin : 60us - 63.34us,Rx Frames per Bin : 63.34us - 66.66us,Rx Frames per Bin : 66.66us - 70us,Rx Frames per Bin : 70us - 73.34us,Rx Frames per Bin : 73.34us - 76.66us,Rx Frames per Bin : 76.66us - maxus,Loss %,Tx Frame Rate,Rx Frame Rate,Tx Rate (bps),Rx Rate (bps),Cut-Through Avg Latency (ns),Cut-Through Min Latency (ns),Cut-Through Max Latency (ns)
Port 1,0x1,HQoS Traffic-cpu7-flow0-lp - Flow Group 0001,43567004,13842886,0,0,2,1,1,2,0,1,2,1,2,1,1,1,1,13842870,68.226,751400.000,238749.000,9125001600.000,2899367856.000,149342822,33882,1498663087
Port 1,0x1,HQoS Traffic-cpu6-flow0-lp - Flow Group 0001,43567004,13842886,0,0,5,0,2,1,2,1,0,2,1,1,2,1,1,13842867,68.226,751399.500,238748.000,9124995528.000,2899355712.000,149320271,33790,1365980012
Port 1,0x1,HQoS Traffic-cpu5-flow0-lp - Flow Group 0001,43567004,13842886,0,0,4,1,2,1,2,0,1,2,1,1,1,1,1,13842868,68.226,751399.500,238748.000,9124995528.000,2899355712.000,149307800,34307,1436524047
Port 1,0x1,HQoS Traffic-cpu4-flow0-lp - Flow Group 0001,43567004,13842887,0,0,4,0,1,1,2,1,1,1,1,2,1,1,2,13842869,68.226,751399.500,238749.000,9124995528.000,2899367856.000,149611608,34212,1466260657
Port 1,0x1,HQoS Traffic-cpu3-flow0-lp - Flow Group 0001,43567005,13842884,0,0,2,0,1,1,2,1,1,1,1,1,2,2,0,13842869,68.226,751400.000,238748.000,9125001600.000,2899355712.000,149295816,33867,1399965982
Port 1,0x1,HQoS Traffic-cpu2-flow0-lp - Flow Group 0001,43567005,13842887,0,0,5,2,1,1,2,0,1,2,1,1,1,1,2,13842867,68.226,751400.000,238748.000,9125001600.000,2899355712.000,149263913,34142,1299286060
Port 1,0x1,HQoS Traffic-cpu1-flow0-lp - Flow Group 0001,43567005,13842887,0,0,4,1,2,0,2,1,1,2,1,1,0,2,1,13842869,68.226,751400.000,238748.000,9125001600.000,2899355712.000,149325405,34047,1710247110
Port 1,0x1,HQoS Traffic-cpu0-flow0-lp - Flow Group 0001,43567005,13842884,0,0,1,1,0,1,1,1,1,1,2,1,1,1,1,13842871,68.226,751400.000,238749.000,9125001600.000,2899367856.000,149263612,34562,1741503620
Port 1,0x0,HQoS Traffic-cpu7-flow0-hp - Flow Group 0001,10179269,10179236,0,48,844,1504,380,35,6,4,5,8,5,4,3,11,75,10176304,0.000,175562.000,175557.500,250000288.000,249993880.000,152392,32242,257777
Port 1,0x0,HQoS Traffic-cpu6-flow0-hp - Flow Group 0001,10179269,10179245,0,17,1058,1368,353,17,5,6,6,4,9,8,6,6,56,10176326,0.000,175562.000,175564.500,250000288.000,250003848.000,153143,31860,256085
Port 1,0x0,HQoS Traffic-cpu5-flow0-hp - Flow Group 0001,10179269,10179241,0,67,924,1432,373,20,7,7,2,7,2,4,4,1,72,10176319,0.000,175562.000,175560.500,250000288.000,249998152.000,153444,32305,253837
Port 1,0x0,HQoS Traffic-cpu4-flow0-hp - Flow Group 0001,10179269,10179233,0,18,950,1446,388,9,5,6,6,5,5,6,3,4,37,10176345,0.000,175561.500,175555.500,249999576.000,249991032.000,155784,31810,260585
Port 1,0x0,HQoS Traffic-cpu3-flow0-hp - Flow Group 0001,10179269,10179246,0,44,787,1449,523,13,4,2,6,2,4,3,7,4,65,10176333,0.000,175561.500,175566.000,249999576.000,250005984.000,152989,32440,256367
Port 1,0x0,HQoS Traffic-cpu2-flow0-hp - Flow Group 0001,10179269,10179248,0,45,963,1391,381,31,8,12,5,6,4,2,5,5,65,10176325,0.000,175561.500,175565.500,249999576.000,250005272.000,152822,32360,255885
Port 1,0x0,HQoS Traffic-cpu1-flow0-hp - Flow Group 0001,10179269,10179241,0,69,912,1430,384,16,8,6,6,4,6,3,5,5,49,10176338,0.000,175561.500,175563.500,249999576.000,250002424.000,153251,32265,256870
Port 1,0x0,HQoS Traffic-cpu0-flow0-hp - Flow Group 0001,10179270,10179237,0,43,814,1513,422,21,5,7,4,4,4,7,6,6,60,10176321,0.000,175562.000,175556.500,250000288.000,249992456.000,152863,32152,265337
